Anchor_1,Anchor_2,Anchor_3,Anchor_4
3.0230646818889725e-06,7.306917891920431e-07,3.232177150577719e-06,1.3210159758973568e-06
1.7410805113865512e-06,2.1480066378545265e-06,2.008955837492438e-06,2.1128262987179564e-06
1.637653195020046e-06,2.475269533584233e-06,1.5790962343549055e-06,1.7014340141643441e-06
3.253333153082319e-06,3.6163096268327944e-07,3.39132209160204e-06,6.908884416101733e-07
2.0842426716468085e-06,1.5966334368412617e-06,2.3296524304372887e-06,1.6720916806959002e-06
3.6067604047657913e-06,5.268892216631771e-07,3.7508264865493355e-06,1.0563492056617138e-06
7.651533458220385e-07,3.1987540236256295e-06,1.0129650373472306e-06,2.863305181035125e-06
1.569301462482739e-06,2.3847826631624155e-06,1.5298397658750264e-06,1.6225838487052936e-06
1.8506591966182889e-06,1.3335973974967999e-06,1.9919793241602943e-06,8.189846388987404e-07
9.833181781074733e-07,2.2158886324604883e-06,1.105475159575089e-06,1.6593158845577114e-06
2.1015366870708296e-07,2.9417953591787415e-06,4.3469882845737157e-07,2.438290413035692e-06
1.4984069306852408e-06,1.826542275168264e-06,1.5858449535027488e-06,1.1768525289398856e-06
2.4176048936364735e-06,1.0517196708215496e-06,2.634706646090235e-06,1.249642898665936e-06
2.0565930184118446e-06,1.2873275398249281e-06,2.161564808285956e-06,5.955801636002786e-07
2.0769520161681518e-07,3.1826915538274082e-06,1.3267415664838765e-07,2.6284288319037483e-06
3.1004590790549667e-07,2.845794123238285e-06,5.377697687385426e-07,2.3549879759132684e-06
3.4652094477265797e-06,3.63017982204904e-07,3.6149443079479804e-06,9.589943104344836e-07
2.6442095383031994e-06,2.6968079748794244e-06,2.9207074676362873e-06,2.9207458743988725e-06
1.1256304049197116e-06,2.711819445121358e-06,1.0483866241683075e-06,2.003968181998404e-06
1.1950168623970695e-06,2.317199893409297e-06,1.459741416801853e-06,2.080320075877872e-06
2.2094356193777823e-06,1.3510515854506187e-06,2.2871887014101536e-06,5.652555663418137e-07
3.415898972538313e-06,4.256495436868568e-07,3.5550471535946774e-06,8.493587916305962e-07
2.312785587724221e-06,8.508128699170548e-07,2.4668777864764524e-06,5.243716269901562e-07
1.8231381649820378e-06,1.357188655749965e-06,1.9659542138334467e-06,8.483572450808239e-07
4.622357692483173e-07,2.703197943138315e-06,6.184376037014679e-07,2.179043580359735e-06
2.5489912734140412e-06,2.724427751970567e-06,2.8255571192705856e-06,2.9175366710933186e-06
2.878465696122823e-06,2.592930517357164e-06,3.1539685272931916e-06,2.8978947253742044e-06
2.7963196273394607e-06,1.4563136146749542e-06,3.042390117308939e-06,1.8654684343435058e-06
1.882416938577162e-06,2.354559108955822e-06,1.8352935484961308e-06,1.5589967700488551e-06
2.1456628951459025e-06,1.9497432392055978e-06,2.147059171352179e-06,1.1427225667734404e-06
1.0500564250654061e-06,2.223454180467469e-06,1.135974833570467e-06,1.6202568740346568e-06
1.101398728154711e-06,2.8646937364447804e-06,1.3752430535123573e-06,2.6310335794163165e-06
1.9455500663751238e-06,1.251083370606438e-06,2.0831811110186915e-06,7.211177297788325e-07
2.9187412154365106e-06,3.28521728683215e-07,3.0651148949407463e-06,4.806578346287149e-07
3.5543194111958524e-06,4.134578405133656e-07,3.7100047328286797e-06,1.0816792570768233e-06
5.781488875804256e-07,3.095921874445955e-06,8.393923771148508e-07,2.7202181867113945e-06
3.2317443921611044e-06,5.89478831909957e-07,3.3518674711043078e-06,5.990550927093524e-07
2.160391118513596e-06,1.9032733524058812e-06,2.422607511596173e-06,2.029731578639779e-06
4.321079734529899e-07,3.418054834179512e-06,5.904599069040217e-07,2.9741294353164407e-06
9.511184356074268e-07,2.690189628628546e-06,8.997822628529861e-07,2.0164534214461217e-06
1.9424047388618165e-06,2.5118224255409535e-06,2.2186128319981215e-06,2.542307477840005e-06
1.0393787309323146e-06,2.839933781396209e-06,9.36141619953393e-07,2.1410501484204842e-06
1.3650215919349695e-06,1.9750123787537907e-06,1.4419743334493538e-06,1.3264578482630888e-06
1.8676789964287816e-06,2.083580482041299e-06,2.1343992640657036e-06,2.0955673505586617e-06
1.5301268819983323e-06,2.805227956422462e-06,1.805008549732648e-06,2.6956341030740694e-06
2.7258305859456124e-06,6.333900915344538e-07,2.8532463963848695e-06,1.7647159726863257e-07
1.638977693920644e-06,2.291879582418424e-06,1.9108411727774266e-06,2.223970827875568e-06
1.4315574587334188e-06,2.4384031293407203e-06,1.7059000315957365e-06,2.302232233550439e-06
1.2117778084489069e-06,1.978353941340825e-06,1.4221139721166474e-06,1.6094807561976626e-06
2.0568993143414237e-06,2.6743652500534555e-06,1.9644425895218545e-06,1.8693041553323622e-06
2.7443639428045053e-06,9.756552052367695e-07,2.836315006774079e-06,2.503303033345016e-07
1.7873406154308444e-06,1.396076829685777e-06,1.928386530838076e-06,8.77644720226952e-07
1.0423478578826928e-06,3.2964024724572936e-06,1.283785359981938e-06,3.0209611805110427e-06
2.3674977294078213e-06,9.56431613229356e-07,2.572241803816164e-06,1.0744472853604802e-06
1.3776516892909757e-06,2.747718307209303e-06,1.2788867037714606e-06,2.0006109073692765e-06
1.2020485513894227e-06,2.494605832819399e-06,1.1709259148942748e-06,1.788031217037709e-06
2.5967915498346815e-06,2.5779151087325557e-06,2.8728249104600933e-06,2.8025247167290977e-06
2.6245596611272654e-06,1.5751746066086124e-06,2.875617893445451e-06,1.9037937305912381e-06
6.378745347366046e-07,3.195728191372605e-06,8.842196280559375e-07,2.8295061332160403e-06
1.7319644183605544e-06,2.7147586412764403e-06,2.0081065285273274e-06,2.669238240560216e-06
2.7620945054732967e-06,2.1527204577682938e-06,3.031293944828227e-06,2.4776547409797572e-06
1.083541956151454e-06,2.6795291588295473e-06,1.0185012043431493e-06,1.9810008920507564e-06
1.7922761003398164e-06,1.58695464153182e-06,1.8794414485374053e-06,8.936514427993509e-07
2.654269195957525e-06,2.191583076098868e-06,2.9247561467232233e-06,2.477304528982349e-06
2.5502065529488893e-06,1.3917176688966111e-06,2.60539023052038e-06,5.98775104814806e-07
8.786957484401381e-07,2.4106344987237548e-06,9.49027671549226e-07,1.8093779449341836e-06
1.9347905514012207e-06,1.8749718755345436e-06,1.95676231479522e-06,1.0880176027064305e-06
1.2809662492019218e-06,3.2342422320713568e-06,1.5341263054087399e-06,3.0254870634297378e-06
2.1034351776418008e-06,1.3572793632954624e-06,2.331116410697382e-06,1.3972863457577646e-06
3.100925000237896e-06,7.162144569879595e-07,3.30911454850544e-06,1.3489238506183366e-06
1.2054051374000679e-06,3.431268441552642e-06,1.4360307353623979e-06,3.181181070579408e-06
8.68828507692698e-07,2.284870773487882e-06,1.0381519354984722e-06,1.7892741473406424e-06
1.2010105309177779e-06,2.9014394460343633e-06,1.075928207261008e-06,2.1763126491578533e-06
1.3993215404738756e-06,1.9926628361229602e-06,1.6449731043102167e-06,1.776457898847533e-06
2.072533339571151e-06,2.098726071135267e-06,2.0563528414408415e-06,1.2936291968345723e-06
1.0276004705031002e-06,3.3195346311393675e-06,1.265672543159964e-06,3.0379856860752033e-06
2.1380765866792928e-06,1.364811749591164e-06,2.2202586235636997e-06,5.979468853769192e-07
1.260560409824413e-06,3.511888785985245e-06,1.4833588633832079e-06,3.264947672587374e-06
2.2604938533347964e-06,1.761843429146847e-06,2.5176202540296396e-06,1.930125263132581e-06
2.535019127248087e-06,6.217566684574133e-07,2.6936054554766427e-06,5.025397348922335e-07
2.043140456717204e-06,1.1224369936325952e-06,2.224151345977851e-06,8.93775074053554e-07
1.5057157854272858e-06,1.984102146522873e-06,1.7575818245384858e-06,1.8239155142310396e-06
3.1067386350942954e-06,3.1780534916612987e-07,3.246964344387816e-06,5.738807625153965e-07
1.1239016612354063e-06,2.4320178165742443e-06,1.1207053726767725e-06,1.7499500213691283e-06
2.6210853672792966e-06,1.1018218644040274e-06,2.7045937574156103e-06,3.1545548609365133e-07
2.5442451339366696e-07,3.4059657662556877e-06,2.3839404368694365e-07,2.8874836836007955e-06
6.4247103966097e-07,2.5264990434399984e-06,7.896413843055454e-07,1.9988448543264733e-06
3.0093708450935585e-07,2.902609524741466e-06,5.655086196344423e-07,2.4378142020124165e-06
1.021740185593283e-06,2.454308162653905e-06,1.2896032149678812e-06,2.170688697984499e-06
9.983132555351926e-07,3.6208556155893477e-06,1.1811751452737064e-06,3.2902423072306e-06
1.007971375139557e-06,2.6844190757928037e-06,9.503855898044604e-07,1.999824285506081e-06
2.8068627410153165e-06,2.5445325203212904e-06,3.0821410043915103e-06,2.8351388323721266e-06
2.307286881773515e-06,8.575928211450715e-07,2.4607297976328852e-06,5.216987405296108e-07
1.67527792530386e-06,2.4668791810999798e-06,1.9509366810580232e-06,2.412992841710213e-06
6.455203081578104e-07,2.5093103853910947e-06,8.166557520188814e-07,2.003124140231036e-06
3.2700920112429597e-06,2.2846338659168e-07,3.4190334968170973e-06,7.79545914676362e-07
2.0224359827760602e-06,2.6167724945945956e-06,2.299000357766676e-06,2.665082261952101e-06
1.341938987436796e-06,1.9242621874406567e-06,1.4418771894373018e-06,1.31323817252685e-06
2.724302038546629e-06,1.8810960401455034e-06,2.9864071283016152e-06,2.2224945022193617e-06
2.4587707921577684e-06,2.4503367330310033e-06,2.733971262534667e-06,2.647291273464795e-06
